left,front,right,action
44.17,44.26,66.1,LEFT
16.3,6.2,17.14,STOP
18.82,103.36,108.02,FORWARD
60.73,41.23,59.28,RIGHT
68.75,116.8,97.35,FORWARD
52.98,17.35,77.13,LEFT
65.1,40.48,68.25,LEFT
51.87,75.55,77.65,FORWARD
97.75,77.79,22.16,FORWARD
65.95,14.65,74.54,RIGHT
64.0,38.07,93.43,RIGHT
98.32,30.49,40.11,LEFT
19.34,11.42,7.23,STOP
93.43,59.9,31.74,FORWARD
44.94,39.29,55.51,RIGHT
87.05,5.14,53.33,LEFT
32.62,81.67,42.75,FORWARD
17.73,19.48,5.39,STOP
71.4,40.67,53.62,RIGHT
67.88,26.25,104.46,RIGHT
23.9,11.42,10.51,STOP
37.6,26.85,116.13,RIGHT
76.32,74.43,74.79,FORWARD
107.07,19.43,74.24,LEFT
61.66,32.97,95.49,RIGHT
119.74,23.87,20.93,LEFT
49.55,29.32,110.77,RIGHT
8.2,18.31,18.9,STOP
77.62,30.72,21.34,LEFT
46.38,17.99,46.95,RIGHT
106.91,99.24,42.7,FORWARD
97.67,33.56,60.41,LEFT
112.1,7.4,48.09,LEFT
40.14,112.24,106.72,FORWARD
69.47,15.2,73.3,RIGHT
56.5,36.9,87.75,RIGHT
30.32,65.54,77.88,FORWARD
53.88,35.85,60.26,RIGHT
28.12,27.66,67.03,RIGHT
84.09,84.73,18.11,FORWARD
76.95,23.15,42.03,RIGHT
89.13,97.57,9.63,FORWARD
88.12,37.5,45.92,LEFT
108.05,62.39,33.47,FORWARD
16.57,14.69,12.43,STOP
44.38,106.07,19.45,FORWARD
43.37,37.15,59.2,LEFT
65.95,25.44,116.02,RIGHT
11.25,101.42,41.3,FORWARD
45.44,91.42,107.43,FORWARD
65.91,32.47,98.12,RIGHT
103.41,74.4,8.96,FORWARD
47.05,21.71,46.95,LEFT
100.0,37.12,76.81,LEFT
101.91,23.05,32.6,LEFT
16.76,9.62,17.5,STOP
69.51,15.54,91.73,RIGHT
103.76,38.4,62.47,LEFT
15.14,16.41,6.14,STOP
118.88,16.96,53.05,LEFT
67.43,12.13,57.08,RIGHT
23.51,15.75,17.88,STOP
85.02,30.38,55.07,LEFT
84.55,12.47,41.86,LEFT
97.65,118.09,21.39,FORWARD
99.4,9.82,56.37,LEFT
40.3,18.76,28.92,LEFT
12.75,10.66,8.88,STOP
55.36,12.34,47.2,LEFT
70.59,20.14,74.36,RIGHT
79.5,59.0,55.5,FORWARD
55.37,26.15,105.53,RIGHT
63.13,9.77,24.79,LEFT
7.25,5.69,14.8,STOP
23.95,77.48,22.08,FORWARD
15.9,9.78,17.5,STOP
55.7,9.15,41.54,LEFT
20.46,82.59,71.4,FORWARD
56.66,10.56,63.88,RIGHT
28.65,78.04,37.68,FORWARD
23.75,38.26,72.33,RIGHT
94.14,116.77,60.55,FORWARD
54.72,43.15,50.71,LEFT
93.38,43.78,79.51,LEFT
33.09,42.51,83.08,RIGHT
99.43,26.67,59.61,LEFT
96.41,22.16,74.51,LEFT
37.05,44.74,73.32,RIGHT
15.28,8.78,5.87,STOP
45.95,32.45,53.3,RIGHT
101.83,63.86,110.53,FORWARD
12.12,17.11,9.05,STOP
9.11,9.16,13.51,STOP
81.89,28.1,65.97,LEFT
22.28,20.39,104.21,RIGHT
21.46,18.5,5.72,STOP
73.05,35.37,57.45,RIGHT
14.76,12.79,23.37,STOP
79.04,33.96,25.88,LEFT
13.08,18.83,22.2,STOP
68.2,65.2,76.25,FORWARD
48.72,27.3,30.85,LEFT
22.52,8.86,7.84,STOP
23.03,19.57,6.53,STOP
107.59,105.74,17.11,FORWARD
20.06,29.82,64.72,RIGHT
30.92,82.22,70.49,FORWARD
112.0,7.42,61.93,LEFT
10.69,14.36,14.53,STOP
76.61,41.64,62.22,RIGHT
9.15,19.18,12.25,STOP
86.95,57.48,116.07,FORWARD
59.92,14.28,98.56,RIGHT
11.53,17.92,21.34,STOP
57.99,23.2,34.4,LEFT
75.53,40.82,98.67,RIGHT
105.84,34.55,23.3,LEFT
47.86,76.09,39.02,FORWARD
31.46,15.43,60.76,RIGHT
11.85,95.26,41.39,FORWARD
38.61,74.85,105.0,FORWARD
69.3,8.45,45.92,RIGHT
14.93,19.57,22.06,STOP
72.12,7.9,44.99,RIGHT
79.69,31.94,32.66,LEFT
55.84,24.4,98.47,RIGHT
16.17,8.2,6.58,STOP
15.84,14.88,17.19,STOP
22.12,16.69,21.98,STOP
92.84,8.1,24.23,LEFT
82.39,92.75,60.68,FORWARD
81.46,76.16,97.28,FORWARD
70.99,14.42,43.87,RIGHT
17.42,56.84,54.26,FORWARD
17.69,6.87,19.09,STOP
43.24,18.55,25.81,LEFT
7.07,14.44,11.29,STOP
95.07,103.99,53.64,FORWARD
24.61,19.43,9.78,STOP
23.99,5.16,5.6,STOP
44.81,38.85,95.45,RIGHT
48.05,37.81,70.92,RIGHT
52.86,9.72,59.72,RIGHT
12.41,16.87,13.71,STOP
67.18,25.31,33.07,LEFT
77.64,32.78,71.69,LEFT
10.6,14.39,21.58,STOP
51.97,5.4,100.96,RIGHT
56.5,17.21,87.42,RIGHT
14.31,18.94,24.62,STOP
7.71,10.22,10.15,STOP
45.11,114.45,34.91,FORWARD
51.19,7.95,117.26,RIGHT
18.65,10.77,6.11,STOP
18.54,87.37,24.66,FORWARD
39.85,24.57,73.16,RIGHT
17.08,5.07,5.74,STOP
39.6,42.83,106.12,RIGHT
10.27,15.08,15.63,STOP
90.07,44.4,61.93,LEFT
10.54,89.85,73.58,FORWARD
10.89,15.87,18.49,STOP
105.64,29.56,29.54,LEFT
41.73,34.86,65.15,LEFT
23.21,15.18,108.22,RIGHT
24.08,37.25,76.5,RIGHT
70.14,11.39,44.08,RIGHT
63.94,71.71,111.1,FORWARD
45.93,29.51,78.6,LEFT
69.16,28.38,98.95,RIGHT
81.66,109.97,99.4,FORWARD
24.3,17.27,18.16,STOP
8.16,16.12,13.8,STOP
12.48,13.16,15.34,STOP
12.59,61.22,20.6,FORWARD
35.51,34.04,52.71,RIGHT
7.97,17.89,24.04,STOP
74.1,11.84,70.46,RIGHT
70.92,39.26,78.0,RIGHT
54.75,13.77,79.84,LEFT
15.46,8.35,10.93,STOP
113.59,94.25,82.41,FORWARD
115.03,26.25,39.66,LEFT
71.61,34.22,66.34,LEFT
52.46,23.6,108.1,RIGHT
30.37,59.11,10.9,FORWARD
9.86,9.77,7.98,STOP
103.5,88.68,53.86,FORWARD
52.36,5.12,46.55,RIGHT
88.27,8.22,55.47,LEFT
11.42,6.61,23.66,STOP
67.9,28.26,30.06,LEFT
84.14,40.57,21.97,LEFT
61.0,31.76,49.39,LEFT
33.46,18.19,45.91,RIGHT
83.11,20.77,20.36,LEFT
39.68,39.93,104.86,RIGHT
83.48,22.18,62.29,LEFT
53.6,44.88,99.22,RIGHT
50.66,15.53,105.68,RIGHT
106.66,11.98,42.38,LEFT
40.98,13.97,71.65,LEFT
41.57,6.68,118.06,RIGHT
101.72,23.77,58.18,LEFT
9.88,75.37,37.35,FORWARD
49.73,24.8,72.79,LEFT
34.63,116.36,55.9,FORWARD
19.88,5.79,21.13,STOP
13.45,56.61,67.25,FORWARD
13.78,5.21,11.25,STOP
61.02,36.02,101.88,RIGHT
20.87,18.91,24.87,STOP
77.49,29.22,118.82,RIGHT
24.31,8.69,18.43,STOP
62.13,62.81,93.07,FORWARD
36.02,71.52,82.1,FORWARD
47.27,24.41,58.67,LEFT
16.8,7.19,20.78,STOP
64.51,71.37,12.91,FORWARD
60.3,22.23,112.77,RIGHT
7.07,56.03,42.52,FORWARD
104.45,15.87,50.42,LEFT
54.89,87.67,99.36,FORWARD
24.76,17.82,13.89,STOP
70.06,29.83,43.8,LEFT
42.06,22.17,72.53,LEFT
7.83,6.4,11.8,STOP
70.92,17.39,47.79,LEFT
39.8,17.29,81.51,RIGHT
71.84,34.55,54.81,LEFT
10.13,19.2,7.62,STOP
72.09,72.42,73.92,FORWARD
117.23,71.07,104.07,FORWARD
17.8,17.57,12.08,STOP
44.28,25.44,45.52,RIGHT
63.24,10.27,62.86,LEFT
25.9,16.83,99.46,RIGHT
98.66,117.91,15.16,FORWARD
51.58,35.36,24.2,LEFT
115.39,23.94,67.49,LEFT
79.79,70.21,11.28,FORWARD
20.18,6.64,16.39,STOP
10.61,8.23,20.79,STOP
79.34,89.15,26.65,FORWARD
9.52,12.4,16.73,STOP
58.17,25.15,117.81,RIGHT
43.74,12.81,75.19,RIGHT
77.81,35.85,111.61,RIGHT
5.29,5.32,18.19,STOP
76.79,5.4,104.43,RIGHT
92.9,58.67,103.2,FORWARD
77.72,30.25,104.8,RIGHT
57.64,5.35,54.81,RIGHT
68.83,86.89,49.48,FORWARD
61.32,13.54,93.14,RIGHT
55.88,43.75,96.21,RIGHT
9.67,11.23,17.95,STOP
33.73,29.1,56.91,RIGHT
86.44,94.33,85.57,FORWARD
50.26,8.95,28.92,LEFT
19.43,9.39,21.3,STOP
59.24,38.05,86.36,RIGHT
58.64,10.8,79.92,RIGHT
108.75,17.02,31.65,LEFT
76.54,42.51,118.49,RIGHT
65.12,14.42,110.3,RIGHT
14.48,9.33,21.16,STOP
85.58,22.87,48.3,LEFT
30.99,36.34,46.17,RIGHT
67.86,10.34,22.86,LEFT
77.69,8.0,77.89,LEFT
10.1,9.93,12.33,STOP
9.26,98.34,82.2,FORWARD
50.18,41.06,73.91,RIGHT
85.92,111.63,39.49,FORWARD
103.51,23.71,78.78,LEFT
65.94,8.7,42.19,RIGHT
22.09,11.22,24.88,STOP
97.18,103.64,104.59,FORWARD
36.58,6.97,87.67,RIGHT
26.93,19.69,92.16,RIGHT
58.62,16.84,20.39,LEFT
24.86,7.56,24.97,STOP
38.32,118.47,78.33,FORWARD
5.54,5.99,20.42,STOP
6.66,15.51,6.22,STOP
102.57,108.9,81.64,FORWARD
57.35,28.76,51.93,RIGHT
5.87,108.34,51.85,FORWARD
10.72,18.66,22.14,STOP
20.97,11.52,8.56,STOP
6.71,6.5,23.69,STOP
7.22,19.51,20.14,STOP
55.99,56.43,11.28,FORWARD
9.29,8.6,13.04,STOP
16.45,9.34,22.59,STOP
23.06,5.31,20.07,STOP
15.42,17.51,20.77,STOP
50.68,79.93,54.27,FORWARD
32.32,62.11,35.03,FORWARD
37.88,74.71,117.84,FORWARD
79.83,24.55,111.98,RIGHT
114.81,60.3,94.93,FORWARD
30.39,94.76,99.31,FORWARD
67.62,98.39,118.62,FORWARD
59.46,36.77,49.48,LEFT
38.87,29.72,50.43,RIGHT
57.89,9.42,85.23,RIGHT
19.67,19.51,20.98,STOP
6.47,5.74,23.55,STOP
24.16,16.22,10.17,STOP
34.87,116.43,5.13,FORWARD
7.49,9.1,16.39,STOP
53.6,83.85,37.82,FORWARD
66.35,7.97,34.7,LEFT
104.21,5.38,22.6,LEFT
60.69,29.63,58.07,LEFT
73.26,81.23,96.44,FORWARD
43.42,27.04,35.82,LEFT
85.11,61.37,24.84,FORWARD
46.27,65.46,33.37,FORWARD
42.7,27.08,100.31,RIGHT
103.41,76.64,87.49,FORWARD
112.72,67.85,98.62,FORWARD
36.74,8.99,118.76,RIGHT
20.68,12.39,13.48,STOP
77.91,61.29,105.47,FORWARD
18.58,19.08,20.06,STOP
27.34,37.71,67.13,RIGHT
74.22,81.88,90.04,FORWARD
17.76,7.92,11.71,STOP
53.02,11.9,45.89,RIGHT
5.95,18.21,15.14,STOP
108.7,57.0,26.52,FORWARD
75.43,36.7,51.31,LEFT
107.01,68.6,16.8,FORWARD
23.29,6.49,5.68,STOP
73.34,43.75,72.26,LEFT
89.73,37.53,47.44,LEFT
64.84,64.39,39.78,FORWARD
76.88,11.01,24.6,LEFT
15.65,11.81,5.32,STOP
10.16,7.23,17.33,STOP
17.95,16.31,16.16,STOP
10.51,6.4,7.05,STOP
38.88,91.21,84.54,FORWARD
54.4,26.91,92.25,RIGHT
119.17,80.72,63.53,FORWARD
15.82,19.88,14.95,STOP
58.44,39.79,99.75,RIGHT
11.8,12.14,21.59,STOP
23.25,18.54,22.51,STOP
21.21,86.62,6.74,FORWARD
71.93,9.56,39.47,LEFT
115.21,36.41,49.6,LEFT
106.93,20.55,61.68,LEFT
76.3,44.27,60.14,LEFT
98.27,14.79,70.89,LEFT
41.97,73.65,99.51,FORWARD
10.77,11.97,23.27,STOP
61.08,11.02,51.46,RIGHT
47.6,86.53,30.09,FORWARD
117.2,89.44,33.61,FORWARD
51.1,107.33,58.36,FORWARD
75.3,40.3,55.18,LEFT
13.85,17.33,21.03,STOP
36.31,24.14,77.22,RIGHT
21.0,7.54,12.9,STOP
73.44,24.51,76.17,LEFT
78.53,6.8,113.12,RIGHT
7.17,10.38,19.36,STOP
67.77,20.07,111.36,RIGHT
27.51,35.51,87.88,RIGHT
9.45,7.77,10.17,STOP
8.03,70.14,112.87,FORWARD
116.47,89.33,61.18,FORWARD
19.4,19.66,6.73,STOP
36.48,31.06,48.29,RIGHT
69.99,24.99,103.77,RIGHT
62.55,60.92,89.55,FORWARD
23.14,6.6,10.33,STOP
56.45,14.82,54.03,RIGHT
60.1,40.78,103.66,RIGHT
18.87,93.14,119.15,FORWARD
14.55,5.0,24.7,STOP
37.69,88.83,81.16,FORWARD
24.13,7.12,12.5,STOP
61.32,29.42,111.07,RIGHT
16.95,17.68,8.42,STOP
17.69,16.93,14.67,STOP
50.83,82.15,59.5,FORWARD
41.43,42.68,55.77,LEFT
114.94,29.28,54.71,LEFT
29.55,57.08,20.21,FORWARD
13.55,19.27,24.67,STOP
30.5,26.02,101.45,RIGHT
65.98,42.8,78.8,LEFT
9.22,8.69,16.3,STOP
98.25,75.21,97.09,FORWARD
29.78,13.61,112.27,RIGHT
112.22,29.09,74.2,LEFT
56.14,31.11,51.31,LEFT
80.63,106.9,64.22,FORWARD
9.88,5.38,7.31,STOP
24.73,16.0,106.88,RIGHT
11.09,6.41,12.25,STOP
8.85,7.57,16.37,STOP
79.94,36.63,57.54,LEFT
66.64,7.46,104.0,RIGHT
40.56,38.88,79.24,LEFT
47.47,19.67,77.87,LEFT
118.73,28.23,61.43,LEFT
6.39,12.08,22.41,STOP
75.12,31.53,90.63,RIGHT
19.41,7.33,22.08,STOP
60.28,10.09,70.82,RIGHT
6.34,107.38,80.86,FORWARD
57.12,9.01,56.26,LEFT
68.74,13.74,38.14,LEFT
9.7,6.17,10.09,STOP
8.81,9.62,20.25,STOP
26.47,22.85,69.45,RIGHT
21.39,8.72,8.94,STOP
20.26,14.34,87.68,RIGHT
65.93,34.6,63.6,RIGHT
103.33,83.79,77.08,FORWARD
51.34,117.7,115.56,FORWARD
55.05,16.69,41.83,RIGHT
8.05,67.97,48.59,FORWARD
6.01,16.56,5.64,STOP
30.19,95.15,58.79,FORWARD
84.79,21.45,70.69,LEFT
38.58,26.75,108.44,RIGHT
93.55,77.76,79.56,FORWARD
12.68,11.7,17.39,STOP
44.25,19.03,37.85,LEFT
7.91,6.23,19.69,STOP
43.05,7.16,90.66,RIGHT
64.14,63.38,78.8,FORWARD
70.39,16.78,86.38,RIGHT
22.41,40.36,93.23,RIGHT
92.9,9.43,24.38,LEFT
13.12,9.33,17.01,STOP
55.95,13.38,67.95,LEFT
103.38,28.52,44.4,LEFT
7.85,16.58,17.82,STOP
8.0,17.27,11.45,STOP
19.14,72.55,9.59,FORWARD
65.45,13.53,118.38,RIGHT
62.95,10.26,59.67,RIGHT
56.07,27.97,47.62,RIGHT
116.71,98.82,28.26,FORWARD
11.93,13.6,23.6,STOP
23.88,8.01,18.73,STOP
8.99,18.42,19.37,STOP
97.93,10.06,26.47,LEFT
46.63,19.14,83.45,RIGHT
66.28,37.69,53.94,LEFT
34.66,70.16,19.43,FORWARD
12.34,12.5,22.09,STOP
40.46,42.51,43.07,LEFT
115.35,31.88,37.73,LEFT
72.14,11.16,40.01,LEFT
40.51,12.23,115.73,RIGHT
63.05,116.27,112.21,FORWARD
107.37,39.25,73.86,LEFT
78.17,90.73,97.11,FORWARD
41.19,28.02,29.99,LEFT
41.56,11.39,107.85,RIGHT
11.73,78.63,44.31,FORWARD
110.06,24.64,74.02,LEFT
73.47,10.98,35.81,LEFT
50.05,17.24,33.03,LEFT
57.4,94.25,14.73,FORWARD
63.25,36.72,76.87,RIGHT
44.32,81.62,82.34,FORWARD
105.14,60.12,60.58,FORWARD
110.0,15.62,37.49,LEFT
55.82,19.03,60.16,RIGHT
9.14,11.16,10.21,STOP
58.19,107.51,5.08,FORWARD
67.13,12.36,51.16,LEFT
6.3,11.87,14.78,STOP
26.19,118.29,74.09,FORWARD
66.26,39.54,101.94,RIGHT
66.55,20.37,77.17,LEFT
59.74,79.57,16.2,FORWARD
42.07,22.76,48.75,RIGHT
94.35,8.73,71.37,LEFT
17.34,12.66,11.58,STOP
79.45,20.96,105.47,RIGHT
17.26,114.4,119.6,FORWARD
52.08,100.38,110.43,FORWARD
58.16,7.73,43.59,RIGHT
111.88,100.12,82.9,FORWARD
78.32,17.17,68.82,LEFT
91.76,6.85,72.35,LEFT
5.87,12.28,15.16,STOP
17.9,5.72,18.61,STOP
87.32,87.06,14.21,FORWARD
49.8,20.5,35.77,LEFT
14.12,14.14,13.66,STOP
85.79,94.28,10.64,FORWARD
18.77,12.61,17.16,STOP
116.0,8.56,27.45,LEFT
20.33,7.52,18.52,STOP
48.31,42.3,56.87,LEFT
96.81,43.77,48.81,LEFT
14.61,18.7,9.85,STOP
22.41,43.75,60.11,RIGHT
97.3,106.24,95.1,FORWARD
40.71,8.39,56.79,LEFT
114.51,80.3,32.48,FORWARD
63.9,44.37,74.85,LEFT
60.26,41.13,105.78,RIGHT
17.17,10.96,11.62,STOP
29.05,9.28,43.95,RIGHT
101.82,101.1,9.52,FORWARD
94.06,7.11,47.1,LEFT
87.75,23.43,44.56,LEFT
72.92,27.42,40.89,RIGHT
10.39,15.02,11.17,STOP
70.04,24.59,76.46,RIGHT
72.93,23.6,109.57,RIGHT
11.11,8.28,9.57,STOP
68.1,40.79,52.45,LEFT
34.26,76.81,118.63,FORWARD
71.99,5.73,103.51,RIGHT
74.57,19.44,62.07,RIGHT
81.92,22.7,34.25,LEFT
94.31,23.69,34.61,LEFT
51.31,32.85,96.66,RIGHT
114.28,77.47,65.94,FORWARD
119.48,31.73,64.78,LEFT
93.94,42.96,37.54,LEFT
18.78,8.28,21.97,STOP
16.24,19.69,20.58,STOP
80.83,116.41,53.0,FORWARD
49.12,27.0,66.48,LEFT
6.73,15.46,9.59,STOP
58.33,117.79,80.79,FORWARD
63.06,24.85,54.63,RIGHT
18.28,9.6,6.89,STOP
54.71,6.72,65.75,RIGHT
104.68,87.87,57.37,FORWARD
30.91,77.52,88.68,FORWARD
51.26,30.64,73.73,LEFT
19.0,17.28,8.03,STOP
37.48,92.61,43.57,FORWARD
115.54,78.19,42.32,FORWARD
73.47,59.66,12.87,FORWARD
60.94,40.17,54.83,RIGHT
47.46,38.52,48.3,RIGHT
32.72,35.04,110.66,RIGHT
67.17,6.13,83.59,RIGHT
11.02,92.95,45.54,FORWARD
114.32,31.2,76.32,LEFT
67.21,10.29,78.06,RIGHT
17.29,58.98,64.58,FORWARD
8.74,11.86,10.27,STOP
7.13,18.51,23.38,STOP
80.92,90.47,93.15,FORWARD
70.01,96.74,66.23,FORWARD
65.06,8.61,49.51,RIGHT
61.14,26.18,62.5,RIGHT
110.9,106.71,75.61,FORWARD
6.02,99.2,55.03,FORWARD
11.32,15.47,21.71,STOP
72.27,32.29,84.42,RIGHT
9.23,19.55,6.52,STOP
7.82,8.87,21.04,STOP
51.1,12.72,34.86,LEFT
114.25,102.99,31.02,FORWARD
39.65,78.37,72.08,FORWARD
7.87,18.01,20.06,STOP
6.08,11.66,14.81,STOP
7.08,6.04,20.69,STOP
97.82,87.79,35.55,FORWARD
35.54,38.78,110.29,RIGHT
69.75,10.1,88.48,RIGHT
23.49,101.22,74.82,FORWARD
80.55,21.44,69.94,LEFT
68.94,30.03,88.7,RIGHT
45.53,27.09,45.08,RIGHT
62.18,89.87,53.3,FORWARD
60.94,15.82,69.36,LEFT
114.66,25.8,55.29,LEFT
94.77,60.72,83.74,FORWARD
11.49,16.23,19.42,STOP
56.96,29.52,54.55,LEFT
72.07,38.41,51.57,LEFT
62.89,34.56,105.32,RIGHT
21.55,9.85,10.33,STOP
16.62,103.64,53.15,FORWARD
21.07,6.0,10.99,STOP
27.82,41.2,95.4,RIGHT
75.81,15.98,41.24,LEFT
14.06,16.74,10.81,STOP
105.21,115.58,22.18,FORWARD
29.17,38.49,64.6,RIGHT
13.23,13.84,5.06,STOP
31.44,83.76,68.99,FORWARD
27.51,94.62,68.31,FORWARD
85.76,94.33,115.64,FORWARD
76.05,83.41,71.51,FORWARD
65.03,40.2,75.8,RIGHT
26.77,14.33,112.63,RIGHT
17.09,7.13,14.08,STOP
60.26,18.56,74.64,LEFT
7.9,12.29,23.39,STOP
71.77,65.36,112.38,FORWARD
7.03,7.01,15.24,STOP
47.15,43.15,117.72,RIGHT
43.33,5.44,24.29,LEFT
14.55,5.14,22.45,STOP
111.28,7.38,39.31,LEFT
7.97,7.63,19.37,STOP
42.0,23.93,52.45,LEFT
118.39,27.65,28.11,LEFT
24.3,37.2,79.81,RIGHT
17.2,12.83,8.5,STOP
116.25,28.3,79.51,LEFT
116.41,35.52,66.92,LEFT
11.69,59.7,63.98,FORWARD
70.74,11.72,42.89,LEFT
16.25,73.61,80.23,FORWARD
53.49,14.09,104.77,RIGHT
97.29,18.72,54.32,LEFT
14.91,12.95,19.65,STOP
5.61,19.76,12.39,STOP
17.47,16.65,23.17,STOP
19.73,67.42,19.49,FORWARD
80.41,11.11,20.64,LEFT
79.16,116.57,102.85,FORWARD
90.22,11.8,76.47,LEFT
103.28,33.67,21.91,LEFT
116.05,96.55,36.95,FORWARD
73.13,101.8,82.22,FORWARD
44.78,100.77,47.79,FORWARD
8.74,7.45,8.19,STOP
62.33,25.93,74.49,RIGHT
110.67,40.41,50.33,LEFT
64.51,34.36,70.75,RIGHT
83.93,108.04,53.93,FORWARD
50.83,29.12,77.72,RIGHT
37.7,35.04,70.52,RIGHT
32.96,88.15,51.37,FORWARD
97.65,26.86,24.4,LEFT
89.3,10.61,23.04,LEFT
16.36,8.34,15.99,STOP
89.9,36.71,47.91,LEFT
29.91,34.74,105.93,RIGHT
14.5,6.13,21.03,STOP
112.44,36.67,26.93,LEFT
21.47,41.71,57.4,RIGHT
102.63,11.91,42.57,LEFT
45.64,23.61,106.53,RIGHT
23.87,13.87,7.68,STOP
19.55,6.6,5.57,STOP
111.37,26.91,26.51,LEFT
15.08,103.91,49.09,FORWARD
71.15,43.56,100.8,RIGHT
58.14,24.3,62.34,RIGHT
47.29,78.84,7.2,FORWARD
5.43,18.58,5.05,STOP
61.33,14.36,85.08,RIGHT
23.67,15.48,17.61,STOP
82.57,44.62,63.43,LEFT
61.97,43.49,64.07,LEFT
53.58,28.17,48.89,LEFT
84.63,67.48,71.13,FORWARD
67.64,39.16,47.75,RIGHT
59.38,17.58,66.98,LEFT
62.39,34.62,87.48,RIGHT
48.83,22.83,50.19,RIGHT
29.45,64.94,100.4,FORWARD
56.82,24.23,44.88,RIGHT
6.06,5.42,10.49,STOP
43.02,42.21,77.99,RIGHT
22.53,16.15,16.73,STOP
21.74,13.31,19.46,STOP
13.56,16.03,14.74,STOP
96.02,24.53,23.73,LEFT
33.13,35.68,61.46,RIGHT
50.67,39.67,59.99,RIGHT
119.67,106.65,11.56,FORWARD
44.32,30.92,102.9,RIGHT
95.81,85.24,76.73,FORWARD
23.38,8.46,13.18,STOP
78.7,91.02,95.28,FORWARD
105.26,75.44,115.13,FORWARD
15.02,66.61,59.85,FORWARD
110.02,90.71,66.6,FORWARD
6.91,95.68,34.93,FORWARD
99.34,43.93,65.59,LEFT
68.12,36.16,24.49,LEFT
47.38,7.15,72.46,RIGHT
117.56,31.79,58.0,LEFT
64.64,10.61,60.52,RIGHT
116.31,25.41,32.85,LEFT
12.16,64.08,5.03,FORWARD
54.31,32.98,48.54,RIGHT
62.52,7.65,107.11,RIGHT
99.6,87.52,31.57,FORWARD
58.07,112.15,68.89,FORWARD
115.52,60.55,51.89,FORWARD
24.88,11.83,8.78,STOP
71.74,36.7,56.06,RIGHT
53.46,72.06,102.08,FORWARD
91.77,7.97,43.4,LEFT
22.13,17.96,12.43,STOP
28.81,31.01,57.57,RIGHT
68.28,71.42,79.68,FORWARD
22.64,10.0,21.53,STOP
8.12,75.4,13.61,FORWARD
11.11,19.29,15.67,STOP
24.86,6.45,21.31,STOP
26.95,41.99,117.53,RIGHT
84.66,41.33,39.88,LEFT
27.49,24.07,43.54,RIGHT
14.69,11.04,10.66,STOP
66.58,22.36,77.39,RIGHT
36.93,28.79,74.29,RIGHT
14.69,7.04,22.07,STOP
89.13,40.55,40.5,LEFT
90.91,10.87,24.11,LEFT
70.7,5.95,69.95,LEFT
115.03,83.61,8.06,FORWARD
34.52,25.73,51.12,RIGHT
10.98,10.44,7.48,STOP
44.95,42.55,95.78,RIGHT
112.66,95.27,84.59,FORWARD
13.88,15.79,11.08,STOP
86.27,41.05,24.8,LEFT
48.96,40.38,63.61,RIGHT
12.91,14.09,24.88,STOP
118.35,26.4,59.53,LEFT
32.59,66.78,39.61,FORWARD
41.62,14.57,67.5,RIGHT
7.02,11.39,5.81,STOP
79.91,9.51,72.94,LEFT
102.02,6.3,79.8,LEFT
9.08,18.24,17.11,STOP
14.94,9.6,8.73,STOP
71.17,42.63,68.33,LEFT
41.32,37.89,40.85,LEFT
48.13,31.5,40.78,RIGHT
65.95,44.18,31.18,LEFT
91.84,104.07,14.46,FORWARD
67.87,7.43,99.03,RIGHT
61.55,17.6,74.42,RIGHT
40.41,68.7,45.24,FORWARD
99.59,114.48,58.48,FORWARD
64.0,13.16,44.52,LEFT
104.47,15.02,37.1,LEFT
88.49,55.55,98.65,FORWARD
103.61,26.43,79.42,LEFT
59.82,9.17,52.79,RIGHT
95.19,10.08,65.3,LEFT
54.49,44.51,54.17,RIGHT
96.31,84.22,26.92,FORWARD
45.84,14.41,58.64,RIGHT
67.76,36.0,75.2,RIGHT
104.79,42.11,65.46,LEFT
22.04,18.07,7.53,STOP
111.2,41.75,74.1,LEFT
50.44,29.29,22.45,LEFT
10.5,7.81,11.41,STOP
14.6,66.16,92.14,FORWARD
7.62,19.15,10.91,STOP
23.82,107.47,73.45,FORWARD
66.65,60.2,97.3,FORWARD
13.5,16.41,6.49,STOP
42.66,113.16,58.62,FORWARD
71.92,10.04,86.36,RIGHT
65.39,80.59,15.1,FORWARD
10.82,7.02,17.46,STOP
56.91,66.1,72.34,FORWARD
75.12,11.35,56.79,RIGHT
14.69,17.7,24.36,STOP
14.23,71.01,88.33,FORWARD
46.14,34.86,49.29,LEFT
26.71,31.55,104.65,RIGHT
46.85,38.9,45.89,RIGHT
72.76,33.59,63.22,LEFT
63.57,8.68,24.93,LEFT
102.86,40.41,42.17,LEFT
14.43,6.78,21.12,STOP
119.93,79.27,82.68,FORWARD
86.37,17.75,51.46,LEFT
5.91,8.27,15.18,STOP
44.78,87.82,62.5,FORWARD
61.16,43.22,68.66,LEFT
63.17,116.11,27.62,FORWARD
80.82,40.26,59.41,LEFT
92.76,20.67,35.45,LEFT
9.9,5.28,21.66,STOP
23.7,107.5,76.6,FORWARD
47.57,103.13,85.09,FORWARD
82.73,21.21,57.59,LEFT
109.76,105.15,116.94,FORWARD
14.46,15.73,21.43,STOP
18.97,12.48,9.68,STOP
70.47,34.33,118.1,RIGHT
54.35,28.42,85.81,RIGHT
40.9,24.09,42.34,RIGHT
55.21,7.53,46.16,RIGHT
53.82,40.78,74.01,RIGHT
114.86,76.09,99.17,FORWARD
66.44,10.19,94.73,RIGHT
